Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Estimated re-assessment,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Under consideration for,GIC decision,Scheduled Assessment
Satyrium semiluna - Half-moon Hairstreak (Okanagan-Similkameen population),Terrestrial,Arthropods,Satyrium semiluna,Half-moon Hairstreak,Okanagan-Similkameen population,Threatened,2022-12-03,2032-12-03 00:00:00,Half-moon Hairstreak,Okanagan-Similkameen population,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Addition,Pending,9999-01-01
Scapanus townsendii - Townsend's Mole,Terrestrial,Mammals (terrestrial),Scapanus townsendii,Townsend's Mole,NA,Endangered,2014-11-28,2024-11-28 00:00:00,Townsend's Mole,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Sclerophora peronella - Frosted Glass-whiskers (Pacific population),Terrestrial,Lichens,Sclerophora peronella,Frosted Glass-whiskers,Pacific population,Data Deficient,2014-11-28,2024-11-28 00:00:00,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,NA,NA,9999-01-01
Scouleria marginata - Margined Streamside Moss,Terrestrial,Mosses,Scouleria marginata,Margined Streamside Moss,NA,Endangered,2012-05-04,2022-05-04 00:00:00,Margined Streamside Moss,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,NA,Added to list,9999-01-01
Scytinium polycarpum - Peacock Vinyl Lichen,Terrestrial,Lichens,Scytinium polycarpum,Peacock Vinyl Lichen,NA,Special Concern,9999-01-01,9999-01-01,NA,NA,NA,9999-01-01,NA,9999-01-01,"BC, CMN, CWS, Parks",NA,NA,9999-01-01
Sebastes crameri - Darkblotched Rockfish,Aquatic,Fishes (marine),Sebastes crameri,Darkblotched Rockfish,NA,Special Concern,2009-11-27,2019-11-27 00:00:00,Darkblotched Rockfish,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Addition,Pending,9999-01-01
Sebastes maliger - Quillback Rockfish,Aquatic,Fishes (marine),Sebastes maliger,Quillback Rockfish,NA,Threatened,2009-11-27,2019-11-27 00:00:00,Quillback Rockfish,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Addition,Pending,9999-01-01
Sebastes paucispinis - Bocaccio,Aquatic,Fishes (marine),Sebastes paucispinis,Bocaccio,NA,Endangered,2013-11-01,2023-11-01 00:00:00,Bocaccio,NA,No Status,9999-01-01,No schedule,9999-01-01,Pacific Ocean,Addition,Pending,9999-01-01
Sebastes pinniger - Canary Rockfish,Aquatic,Fishes (marine),Sebastes pinniger,Canary Rockfish,NA,Threatened,2007-11-30,2017-11-30 00:00:00,Canary Rockfish,NA,No Status,2011-06-23,No schedule,9999-01-01,Pacific Ocean,NA,Not to list,9999-01-01
Sebastes reedi - Yellowmouth Rockfish,Aquatic,Fishes (marine),Sebastes reedi,Yellowmouth Rockfish,NA,Threatened,2010-04-25,2020-04-25 00:00:00,Yellowmouth Rockfish,NA,No Status,2017-04-13,No schedule,9999-01-01,Pacific Ocean,NA,Not to list,9999-01-01
Sebastes ruberrimus - Yelloweye Rockfish (Pacific Ocean inside waters population),Aquatic,Fishes (marine),Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean inside waters population,Threatened,2020-11-04,2030-11-04 00:00:00,Yelloweye Rockfish,Pacific Ocean inside waters population,Special Concern,9999-01-01,Schedule 1,2011-06-23,"British Columbia, Pacific Ocean",Status change,Pending,9999-01-01
Sebastes ruberrimus - Yelloweye Rockfish (Pacific Ocean outside waters population),Aquatic,Fishes (marine),Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean outside waters population,Threatened,2020-11-04,2030-11-04 00:00:00,Yelloweye Rockfish,Pacific Ocean outside waters population,Special Concern,9999-01-01,Schedule 1,2011-06-23,"British Columbia, Pacific Ocean",Status change,Pending,9999-01-01
Sebastes sp. type I - Rougheye Rockfish type I,Aquatic,Fishes (marine),Sebastes sp. type I,Rougheye Rockfish type I,NA,Special Concern,2007-04-22,2017-04-22 00:00:00,Rougheye Rockfish type I,NA,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,NA,Added to list,9999-01-01
Sebastes sp. type II - Rougheye Rockfish type II,Aquatic,Fishes (marine),Sebastes sp. type II,Rougheye Rockfish type II,NA,Special Concern,2007-04-22,2017-04-22 00:00:00,Rougheye Rockfish type II,NA,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,NA,Added to list,9999-01-01
Sebastolobus altivelis - Longspine Thornyhead,Aquatic,Fishes (marine),Sebastolobus altivelis,Longspine Thornyhead,NA,Special Concern,2007-04-22,2017-04-22 00:00:00,Longspine Thornyhead,NA,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,NA,Added to list,9999-01-01
Selasphorus rufus - Rufous Hummingbird,Terrestrial,Birds,Selasphorus rufus,Rufous Hummingbird,NA,Not applicable,9999-01-01,9999-01-01,NA,NA,NA,9999-01-01,NA,9999-01-01,"AB, BC, CMN, CWS, Parks, YT",NA,NA,2026-11-01
Seligeria acutifolia - Acuteleaf Small Limestone Moss,Terrestrial,Mosses,Seligeria acutifolia,Acuteleaf Small Limestone Moss,NA,Endangered,2018-04-27,2028-04-27 00:00:00,Acuteleaf Small Limestone Moss,NA,Endangered,2021-04-23,Schedule 1,2021-04-23,British Columbia,NA,Added to list,9999-01-01
Seligeria careyana - Carey’s Small Limestone Moss,Terrestrial,Mosses,Seligeria careyana,Carey’s Small Limestone Moss,NA,Endangered,2019-05-03,2029-05-03 00:00:00,Carey’s Small Limestone Moss,NA,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,NA,Added to list,9999-01-01
